id,Calorie_correction,Moisture,Crude_protein,Crude_fat,Saturated_fat,Total_carbohydrates,Dietary_fiber,Total_carbohydrate,glucose,fructose,Galactose,maltose,sucrose,lactose,sodium,Potassium,calcium,magnesium,iron,Zinc,phosphorus,copper,manganese,VitaminB1,VitaminB2,VitaminB6,VitaminB12,VitaminC,Folic_acid,VitaminA,VitaminD,VitaminE,Cluster_category
1437,492.0,85.7,91.1,16.8,7.2,0.0,0.0,21.4,0.1,0.0,0.0,0.0,21.3,0.0,3235.0,870.0,3179.0,335.0,10.3,9.6,1448.0,0.0,0.0,0.08,0.43,0.07,66.9,0.0,0.0,234.0,0.0,0.44,3
1438,47.0,86.3,0.3,0.2,0.1,13.0,1.5,9.6,2.8,5.6,0.0,0.0,1.3,0.0,4.0,113.0,4.0,4.0,0.1,0.2,11.0,0.0,0.0,0.05,0.01,0.04,0.0,3.1,0.0,919.0,0.0,0.07,1
1439,418.0,109.2,22.7,15.0,6.0,50.8,4.2,6.9,2.3,2.9,0.0,1.6,0.0,0.0,493.0,272.0,72.0,57.0,3.2,2.7,316.0,0.07,0.03,0.31,0.55,0.22,1.01,0.6,145.3,563.0,84.4,4.26,1
1440,47.0,86.3,0.3,0.2,0.1,13.0,1.5,9.6,2.8,5.6,0.0,0.0,1.3,0.0,4.0,113.0,4.0,4.0,0.1,0.2,11.0,0.0,0.0,0.05,0.01,0.04,0.0,3.1,0.0,919.0,0.0,0.07,1
1441,1326.0,77.9,19.3,101.3,15.8,89.3,1.9,2.4,0.2,0.1,0.0,2.0,0.2,0.0,5566.0,491.0,652.0,83.0,3.0,1.2,221.0,0.0,0.0,0.12,0.14,1.02,0.0,0.0,103.8,0.0,0.0,42.41,3
1442,418.0,109.2,22.7,15.0,6.0,50.8,4.2,6.9,2.3,2.9,0.0,1.6,0.0,0.0,493.0,272.0,72.0,57.0,3.2,2.7,316.0,0.07,0.03,0.31,0.55,0.22,1.01,0.6,145.3,563.0,84.4,4.26,1
1443,90.0,76.5,2.8,0.1,0.0,19.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,570.0,2.0,12.0,0.7,1.1,42.0,0.0,0.0,0.13,0.02,0.19,0.0,9.1,9.1,0.0,0.0,0.19,0
1444,31.0,91.0,0.7,0.5,0.2,7.3,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.01,0.03,0.0,34.0,0.0,0.0,0.0,0.55,0
1445,72.0,180.9,2.8,1.0,0.2,14.0,2.2,12.8,1.3,1.4,0.0,0.0,10.1,0.0,73.0,383.0,89.0,24.0,1.3,0.5,46.0,0.0,0.0,0.04,0.06,0.07,0.0,6.6,10.0,664.0,0.0,0.85,1
1446,145.0,356.8,2.8,0.5,0.2,38.4,5.7,29.8,8.0,10.9,0.0,0.0,11.0,0.0,96.0,589.0,56.0,35.0,2.0,1.0,66.0,0.04,0.0,0.18,0.11,0.36,0.0,27.8,32.3,21778.0,0.0,0.57,2
1447,74.0,80.5,2.6,0.2,0.0,15.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,386.0,4.0,20.0,0.6,1.1,38.0,0.0,0.0,0.08,0.03,0.15,0.0,29.5,11.4,0.0,0.0,0.02,0
1448,1039.0,167.0,15.6,109.2,93.2,6.0,3.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,140.0,482.0,245.0,53.0,6.6,1.9,239.0,0.07,0.03,0.16,0.71,0.43,0.8,14.4,78.6,16608.0,84.4,2.77,2
1449,1171.0,105.4,38.6,33.5,11.6,216.1,58.9,1.1,0.2,0.0,0.0,0.0,0.9,0.0,143.0,1562.0,190.0,344.0,10.6,4.8,743.0,0.07,0.03,0.36,0.99,1.35,0.8,3.7,182.9,558.0,84.4,15.88,1
1452,337.0,2.1,13.9,14.9,6.8,65.1,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1095.0,106.0,209.0,4.3,1.0,198.0,0.0,0.0,0.0,0.39,1.08,0.0,0.0,25.0,0.0,0.0,12.92,0
1453,110.0,267.6,2.6,1.1,0.4,27.0,4.7,9.1,2.6,4.3,0.0,0.0,2.3,0.0,9.0,575.0,54.0,54.0,2.4,0.8,51.0,0.02,0.0,0.13,0.09,0.27,0.0,43.7,50.1,738.0,0.0,2.68,1
1454,60.0,86.1,1.6,3.7,1.1,7.9,3.4,0.9,0.3,0.6,0.0,0.0,0.0,0.0,2.0,251.0,6.0,19.0,0.3,0.7,33.0,0.0,0.0,0.05,0.1,0.23,0.0,9.9,0.0,424.0,0.0,1.38,1
1455,22.0,92.6,1.7,0.2,0.2,4.7,1.7,2.2,1.1,1.1,0.0,0.0,0.0,0.0,0.0,303.0,10.0,11.0,0.8,0.9,42.0,0.0,0.0,0.07,0.06,0.08,0.0,5.0,0.0,0.0,0.0,0.39,0
1457,90.0,76.5,2.8,0.1,0.0,19.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,570.0,2.0,12.0,0.7,1.1,42.0,0.0,0.0,0.13,0.02,0.19,0.0,9.1,9.1,0.0,0.0,0.19,0
1458,62.0,181.9,2.0,0.9,0.0,14.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,469.0,30.0,21.0,1.3,0.4,50.0,0.0,0.0,0.11,0.09,0.34,0.0,93.4,0.0,17723.0,0.0,2.08,2
1459,62.0,181.9,2.0,0.9,0.0,14.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,469.0,30.0,21.0,1.3,0.4,50.0,0.0,0.0,0.11,0.09,0.34,0.0,93.4,0.0,17723.0,0.0,2.08,2
1460,13.0,96.0,0.7,0.1,0.0,2.9,0.5,2.3,1.2,1.2,0.0,0.0,0.0,0.0,3.0,116.0,15.0,8.0,1.3,0.2,15.0,0.04,0.0,0.01,0.02,0.02,0.0,7.3,4.6,112.0,0.0,0.04,0
1461,592.0,206.7,39.0,44.5,11.0,7.5,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,96.0,826.0,60.0,70.0,4.4,1.8,438.0,0.0,0.0,0.23,0.75,0.68,16.27,34.0,58.0,720.0,0.0,1.72,1
1462,195.0,162.0,14.3,12.6,4.2,9.5,3.4,1.1,0.5,0.6,0.0,0.0,0.0,0.0,140.0,386.0,60.0,30.0,2.2,2.0,219.0,0.07,0.03,0.14,0.58,0.34,0.8,10.5,78.6,982.0,84.4,3.6,1
1464,152.0,76.3,12.4,11.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,105.0,5.0,11.0,1.0,1.6,100.0,0.0,0.0,0.06,0.22,0.04,0.94,2.5,31.4,17.0,0.0,0.23,0
